không cho mượn thì bảo ki cho mượn xong trả lại như kia ai chả tức tiền chứ có phải giấy đâu thấy mấy ông cứ bảo xe cỏ xe cùi nhưng mà kiếm đồng,0
thì trung bình mấy thằng không có xe hoặc là đi mượn thì tụi nó hay bênh nhau vậy thôi không phải của mình đâu có biết quý biết xót bạn,0
xem trong video thì nghe ông thớt bảo cần 1 lời thôi không có nên ông tức đấy,0
xin lỗi vẫn tức ấy chứ mua được chiếc xe cưng như con quý lắm cho mượn xong tụi nó coi như của chùa phá kiểu đó,0
mấy đứa cứ nói parky này nọ trắc gì có xe mà cho mượn,0
toàn chèo xuồng thôi bạn ơi,0
chuẩn bạn,0
miên con chúng mày xe máy còn không có mà đi chứ à,1
miền nào cũng văn minh trừ parky thì không,1
về chơi f đi,0
k16 thích chơi f là hiểu rồi,0
parky là gì vậy các bác,1
miền bắc,0
thằng ngáo,0
parky gào thét kàa,1
chú minh nhà nghèo làm gì có tiền đi học,0
khổ thân,0
nhỏ không học lớn làm chú minh đó,0
không có nút haha,0
thôi không chêu chú,0
um,0
sao nói tao tao có nói gì đâu,0
tao có nói gì c đâu tao đang nói chú minh mà,0
không,0
kệ nó đi,0
sợ quá ngồi học thôi không đi chơi tết nữa,0
nó chẳng may nó bị thế nó đền làm gì căng thế ông,0
hỏng mất đồ zin thì chả cay,0
eo ôi,0
người biết ý thì không may như này thì phải biết sửa lại rồi mới trả xe đây là cho thằng vô ý thức nó muợn nó làm hỏng rồi nó trả không nói gì thì chả cay,0
câu lói cửa miệng của parky,1
câu nói cửa miệng của nemkiki,1
mày đi đâu nghe miền nam nói câu đó,1
kia,0
ngôn ngữ mất kiểm soát,0
bản lĩnh thì mua xe về cho mượn xem có nín nổi không,0
vãi cặc,1
khéo vỡ trước oy ông sợ vợ chửi lên lấy cớ gì,0
gặp namky là nó kiện rồi,1
nó là phương tiện đi thôi tiêu sản mà khắc phục là ok,0
oai vậy bố mẹ ra chợ khéo xin từng nghìn mặc cả,0
mất hết lòng tốt ông ơi,1
văn hoá parky,1
lubu quá parky ơi,1
bố nó xem video này thì sao nhỉ,0
cũng sót lắm chứ các ông cứ nói hay khi nào các ông rơi vào hoàn cảnh này thì biết,0
parky lải nhải,1
độc lạ parky,1
parky ngàn năm văn hiến chửi rất chi văn minh,1
parky nói tục,1
parky khóc,1
hãy đặt mình vào vị trí của chủ xe với người có tiền giàu có thì con xe này không là cái gì nhưng cũng có những người xe là cả 1 khối tài sản mà cố,0
văn hoá parky,1
chuẩn parky rồi,1
người khát nước trong môi trường tự nhiên của họ parky parky,1
thô nhưng thật ai có xe rồi hiểu,1
ai có xe sẽ hiểu nhá mấy bố đi xe máy không hiểu cứ kêu chưi ghê,0
npcparky,1
parky chửi nghệ ngọt thế kàa,1
parky cay cú,1
parky cay đỏ,1
parky cho mượn xe và cái kết,1
parky chửi gào thét trong cay cú,1
parky chửi quá chửi,1
độc lạ parky,1
bày chửi cali hay nhỉ,1
bắc nam là 1 comenhắn tin toàn kid,0
parky p phóng khoáng anh an nhàn rồi rực rỡ không khôn ngoan y yêu thương,1
parky khóc,1
parky khóc thét,1
khổ mấy thằng batman không đi học,0
thật ra đã cho mượn roi không cần phai cáu len làm gì,0
có không giữ hỏng lại tiếc,0
em người miền bắc nhưng anh chị cho em hỏi parky là gì vậy,1
parky khóc,1
parky,1
văn hoá parky,1
tự dưng lướt bị chửi vô mặt buồn ghê,0
tôi nói thật tôi cũng hay mượn xe đi nhưng tôi đi cẩn thận hơn xe của mình,0
parky đấy,1
parky chỉ thế,1
hòm thư của mẹ ,0
